station,date,reserve,min,max,planned,plan_percent,completance,coal_type,delivery,spending,days,station_id,latitude,longitude,owner,spending_a_jan2016,spending_p_jan2016,spending_g_jan2016
Вуглегірська ТЕС,2017-02-28,217,100.0,325.0,201,108,16,газове,6.484,3.117,70,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-08-10,109,100.0,325.0,143,76,-34,газове,3.358,8.841,12,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-05-19,192,100.0,325.0,254,76,-62,газове,5.013,2.542,76,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-08-11,105,100.0,325.0,143,73,-38,газове,4.793,9.035,12,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2018-04-03,182,81.54400000000001,100.0,183,99,-1,газове,6.923,3.704,49,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-04-19,228,100.0,325.0,179,127,49,газове,2.568,4.679,49,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-10-05,138,100.0,325.0,173,80,-35,газове,10.518,5.91,23,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-05-11,204,100.0,325.0,248,82,-44,газове,0.888,4.641,44,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-03-27,252,100.0,325.0,185,136,67,газове,2.945,3.032,83,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-05-05,212,100.0,325.0,180,118,32,газове,0.0,2.693,79,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-09-01,114,100.0,325.0,143,80,-29,газове,1.713,6.587,17,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-06-21,155,100.0,325.0,162,96,-7,газове,5.312,2.241,69,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2018-02-07,197,96.67500000000001,100.0,192,103,5,газове,5.434,9.069,22,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-10-12,158,100.0,325.0,173,91,-15,газове,8.306,6.266,25,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-03-09,234,100.0,325.0,195,120,39,газове,9.362,2.888,81,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2018-02-21,200,99.88399999999999,100.0,187,107,13,газове,3.682,4.875,41,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-05-16,194,100.0,325.0,252,77,-58,газове,2.332,4.434,44,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-06-12,167,100.0,325.0,208,80,-41,газове,3.733,2.412,69,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-08-09,115,100.0,325.0,143,80,-28,газове,5.006,9.252,12,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-10-17,172,100.0,325.0,173,99,-1,газове,10.085,5.613,31,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-11-22,204,100.0,325.0,218,94,-14,газове,10.84,5.378,38,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2018-03-19,188,88.34899999999999,100.0,197,95,-9,газове,2.094,5.202,36,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-07-18,108,100.0,325.0,147,73,-39,газове,3.274,4.95,22,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-04-03,246,100.0,325.0,182,135,64,газове,0.0,2.903,85,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-11-14,177,100.0,325.0,205,86,-28,газове,9.225,4.107,43,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-12-29,310,100.0,325.0,236,131,74,газове,5.518,4.738,65,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-04-28,208,100.0,325.0,178,117,30,газове,2.279,3.233,64,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-08-07,126,100.0,325.0,143,88,-17,газове,5.715,10.164,12,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-10-26,178,100.0,325.0,173,103,5,газове,3.693,8.626,21,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-08-15,100,100.0,325.0,143,70,-43,газове,10.528,7.523,13,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-05-22,187,100.0,325.0,256,73,-69,газове,5.132,5.483,34,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-03-01,217,100.0,325.0,200,108,17,газове,3.383,3.164,69,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-12-05,213,100.0,325.0,201,106,12,газове,7.852,7.422,29,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-03-22,245,100.0,325.0,185,132,60,газове,5.545,2.775,88,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-11-06,172,100.0,325.0,173,99,-1,газове,9.785,5.873,29,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2018-02-02,208,107.86500000000001,100.0,194,107,14,газове,5.297,6.584,32,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2018-03-05,201,101.47,100.0,187,107,14,газове,7.561,5.639,36,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-09-21,103,100.0,325.0,163,63,-60,газове,9.927,5.38,19,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-07-07,124,100.0,325.0,151,82,-27,газове,2.311,5.407,23,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-10-19,177,100.0,325.0,173,102,4,газове,8.355,5.827,30,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
Вуглегірська ТЕС,2017-11-21,198,100.0,325.0,216,92,-18,газове,7.783,5.239,38,b,48.463149,38.202597,"ПАТ «Центренерго» , держава",0.0,0.0,6.0
